Customer_Name,Customer_Contact,BILL_DATE,Bill_No.,Item_Division,Brand,Sub_Brand,Item_Description,Item_Barcode,Discount_Amount,Total_Amount,Item_Name,Sleeve,Size,SALE_QUANTITY,Store_Name,Color,Pattern,MRP,DP
Alice Brown,7776665553,25/09/2024,INV7524R,Trousers,Sero Trousers,Formal Trousers,Trouser Premium Plain,BC400009,808.56,7336.92,GAMA8545,F,38,4,PRFCO,Black,Print,1834.23,1509.56
Elena Salvatore,9998887771,16/03/2024,INV2076,Shirt,HV,HV,Shirt Premium Striped,BC499407,1923.77,8895.95,YUVA-8214/6,H,39,5,PRFT,Red,Checks,1779.19,1414.95
Klaus,8898887772,21/10/2024,INV7299R,Trousers,Sero Trousers,Formal Trousers,Trouser Premium Checked,BC571579,300.76,5809.74,BETA8974,F,38,3,MEM,Green,Plain,1936.58,1423.69
Elena Salvatore,9998887771,31/08/2024,INV3007R,Trousers,Sero Trousers,Formal Trousers,Trouser Premium Plain,BC201514,722.72,5160.66,MC-8541/2,P,42,3,MEM,Blue,Plain,1720.22,1514.01
Elena Salvatore,9998887771,01/04/2024,INV3526R,Shirt,HV,HV,Shirt Premium Striped,BC983456,853.11,4430.07,GAMA8555,F,36,3,PRFCO,Grey,Plain,1476.69,1225.78
Stefan Davis,5554443335,20/03/2024,INV7797,Shirt,HV,HV,Shirt Premium Printed,BC393328,873.79,5349.54,ALFA-8745/9,H,37,3,PRFT,White,Plain,1783.18,1123.06
Elena Salvatore,9998887771,24/06/2024,INV3185R,Shirt,Sero,Uth,Shirt Premium Striped,BC953025,912.67,3434.5,GAMA8543,H,41,2,MEM,Grey,Plain,1717.25,1062.86
Elena Salvatore,9998887771,21/03/2024,INV2076R,Shirt,HV,HV,Shirt Premium Striped,BC499407,1896.1,7116.76,YUVA-8214/7,H,39,4,PRFT,Red,Checks,1779.19,1414.95
Alice Brown,7776665553,03/06/2024,INV4263,Trousers,Sero Trousers,Formal Trousers,Trouser Premium Plain,BC499889,249.07,911.72,ALFA-8745/3,F,41,1,PRFT,Red,Print,911.72,701.82
Caroline,9998887771,07/06/2024,INV6562,Shirt,Sero,Uth,Shirt Premium Checked,BC635280,88.94,1708.8,BETA8969,F,42,2,PRFT,White,Plain,854.4,550.18
Stefan Davis,5554443335,02/03/2024,INV5720R,Shirt,HV,HV,Shirt Premium Checked,BC350021,208.99,2895.86,BETA8984,H,36,2,PRFCO,White,Checks,1447.93,1118.55
Bob Elenason,6665554444,31/05/2024,INV4770R,Trousers,Sero Trousers,Formal Trousers,Trouser Premium Striped,BC810687,283.29,2890.2,ALFA-8745/5,F,41,3,PRFCO,Grey,Checks,963.4,705.45
Elena Salvatore,9998887771,12/06/2024,INV6562R,Shirt,HV,HV,Shirt Premium Checked,BC635280,45.41,854.4,BETA8970,F,42,1,PRFT,Black,Plain,854.4,550.18
Stefan Davis,5554443335,04/07/2024,INV6060,Shirt,Sero,Premium,Shirt Premium Printed,BC301332,293.46,7464.45,BETA8977,F,36,5,PRFT,Red,Checks,1492.89,1288.24
Alice Brown,7776665553,21/12/2024,INV7653R,Trousers,Sero Trousers,Formal Trousers,Trouser Premium Checked,BC265759,299.37,1937.74,GAMA8557,P,39,2,PRFRS,Black,Plain,968.87,790.12
Elena Salvatore,9998887771,07/09/2024,INV9612R,Trousers,Sero Trousers,Formal Trousers,Trouser Premium Checked,BC231414,179.75,1385,GAMA8552,P,39,2,MEM,Grey,Plain,692.5,587.74
Jane Smith,8887776662,12/08/2024,INV9586,Shirt,Sero,White Gold,Shirt Premium Striped,BC506235,145.55,1925.28,BETA8975,F,42,3,PRFT,White,Plain,641.76,515.66
Bob Elenason,6665554444,14/08/2024,INV7785,Trousers,Sero Trousers,Formal Trousers,Trouser Premium Checked,BC461939,46.68,2840.65,BETA8965,H,41,5,PRFT,Green,Plain,568.13,408.25
Bob Elenason,6665554444,19/08/2024,INV7785R,Trousers,Sero Trousers,Formal Trousers,Trouser Premium Checked,BC461939,261.57,1136.26,BETA8966,H,41,2,PRFT,Green,Plain,568.13,408.25
